"","DAY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","Overall_Avg"
"1","3-Jul",96,94,85,80,93,90,90,89,80,87,93,75,89,85,81,96,81,88,96,89,87.85
"2","4-Jul",95.6435434195895,97.0315208547871,86.711672181133,83.0068280614605,95,89.8707911026397,87,94.7228650036563,83.781030311384,84.0671113787982,93,71.8303638803962,92.34924057926,83.3318597223363,79.7017560114996,96.9697845740708,89.9928562468892,81.4667805206632,89.5583038708424,82.4577033709855,87.8114642896645
"3","5-Jul",91.0239377426102,95.1384985345057,87.3637442069385,84.8025178240963,97,86.6179382876382,89,92.5141594232089,86.2508757064029,83.836201139454,91.3635849977643,76.8964207265289,92.829243375407,85.0293608530625,81.3236018774628,93.819620416389,90.3242023691801,80.4000483370145,86.2855170592388,86.3127945323067,87.7813820598859
"4","6-Jul",88.6645181560166,87.9881267738079,87.7071244361164,86.9043153256995,97.967642606199,88.5913239127107,93,84.7801036602111,88.4222776172062,86.6852432202643,90.2478895241818,81.4803755625168,91.5600140069893,76.7449707446436,84.4192584228225,91.70420895862,93.9329952237932,84.754497563726,88.2715046392527,86.1010154859274,87.7103326194539
"5","7-Jul",90.3728486230086,87.1877698840229,86.3827411872056,88.3845581861604,97.9039748195306,89.5227861766759,93,88.672006647701,88.930912622405,80.5222084864558,82.6811969459869,82.5823042934514,86.9427270207018,80.8019030844518,86.1112753643066,91.6527155590629,92.6092152599375,85.7618872328802,89.2091025639901,85.9969180629535,87.3786833169614
"6","8-Jul",91.0349453326816,78.2403619076101,89.3007950482361,82.4999090977454,97.8423671565079,89.4141307032879,89,91.4403208696024,88.2658105581247,74.3515937237887,80.4874214928061,78.7077841957629,89.1781026156853,81.4418892255519,90.8783667717136,95.7236397582228,87.6741909571867,82.7154714847171,91.1988403647555,91.0406006256887,86.700616206799
"7","9-Jul",90.016074926352,88.9509470894017,91.8117327377233,83.4808153359073,92.6209659878939,91.3962942461096,89,94.2407392101369,86.5382542478283,84.9780216668339,81.7250245734218,78.5107553845971,91.2889701602302,78.620053999768,94.5903000564221,95.6715592487796,90.892251699259,88.9471680655919,92.1400044593565,91.9025631239588,88.3023110925973
"8","10-Jul",90.9395502904209,86.8352903607258,92.621159414038,84.5875154382778,97.7303027220905,93.3792259985862,90,92.5145430892171,86.9613331410612,87.0892027523752,83.5864265323069,85.9194447980127,91.3278326058273,79.8579211918605,94.6409267390665,92.5304060963243,93.9077857357201,90.4563754486153,92.034978716459,92.8494944749153,89.3957494500514
"9","11-Jul",91.3053107509604,89.4184718143431,89.805043796455,85.0153845200291,100.77138681692,89.1044750794897,91,86.3347041552679,87.8704383876439,77.1061813756298,83.9248154458367,85.0294870658017,89.917019330687,80.4819156058849,89.6233402441226,93.5143796502085,92.0893879737085,89.9312816145258,88.7878753154089,94.6674118880585,88.370652533528
"10","12-Jul",89.5303184094064,86.6029608038791,89.1234831210322,81.6382015299401,97.616997174708,92.143045008669,84,86.011190041501,88.8886709207015,80.7908897580705,88.8955770187285,84.0464213222917,90.6668839128148,82.5733021521809,91.163936196061,96.5592683018465,86.7419858709702,84.1130480781894,86.6019764415703,94.0829458753879,87.6744326971587
